job_title,job_description,requirements
"Solution Architect - SAP S/4 HANA SuccessFactors HR","Job Summary: As the Solution Architect for SAP S/4 HANA SuccessFactors HR, you will lead the design, integration, and delivery of HR solutions within a major transformation program. You will collaborate with cross-functional teams and external partners to ensure that the SAP SuccessFactors HR solutions align with business goals, technical standards, and best practices. Responsibilities: Provide technical leadership for the SAP S/4 HANA SuccessFactors HR scope, ensuring solutions reflect business requirements and adhere to governance and testing standards. Coordinate across internal business and technology teams, as well as external system integrators, for effective project delivery. Ensure the HR scope is integrated with broader program streams like data migration, analytics, and testing, while managing dependencies. Provide expert guidance on SAP SuccessFactors architecture, integration, and technical design. Align the SAP HR implementation with the company’s overall tech strategy and architecture roadmap. Collaborate with stakeholders to translate business requirements into technical specifications for HR solutions. Lead the design, configuration, and integration of SAP SuccessFactors, ensuring alignment with enterprise architecture standards. Manage relationships with vendors, system integrators, and SAP consultants to ensure timely and high-quality delivery. Oversee the performance of third-party vendors, ensuring they meet contractual obligations.","Skills/Requirements: Hands-on experience in implementing SAP SuccessFactors Payroll in a large organization is must. Middle East Experience is mandatory for this role. Business side HR experience is not a must. 8-10 years of experience in technology implementation and management, with a focus on large-scale transformation programs. Experience working with ERP systems in design, deployment, testing, and support. Experience with SAP (preferred but not mandatory; training will be provided). Proven ability to manage large, hybrid teams, including external vendors, and ensure projects stay on scope and budget. Strong leadership and communication skills to work with cross-functional teams and stakeholders. Bachelor’s degree in IT, Business Administration, or related field. Relevant certifications (PMP, ITIL, ERP) are a plus."
"Business Development Consultant","Key Responsibilities: Visiting clients to build and develop relationships. Attending relevant events and trade shows. Provide advice to both clients and candidates on salary levels, training requirements and career opportunities. Provide a vital link between clients and candidates at all stages of the job lifecycle. Communicate competently to senior stakeholders within the key client all services provided and benefits of working with us. Researching the Key Account and individuals online (especially on social media) to identify new leads and potential new markets to grow pipeline of the designated account. Headhunting, interviewing, and assessing prospective applicants and matching them with vacancies at Key Client companies. Screening candidates and drawing up relevant shortlists of candidates for clients to interview for every job provided within their Key Account. Using candidate databases to match the right person to the client's vacancy. Organizing interviews and managing the coordination of interview logistics. Work where required with Resource Consultants and Senior Resource Consultants to fulfil the requirements of their Key Accounts providing full advice, job briefings, and managing time frames where required. Making arrangements for the advertisement of vacancies via various social media channels. Helping applicants to prepare for interviews. Conducting reference checks in line with client expectations. Briefing the candidate about the job responsibilities and benefits before finalizing the CV formatting process ensuring all relevant information is up to date and correct.","Key attributes of a Key Account Executive are: Excellent Sales and Relationship Building Skills. Impeccable Service Delivery skills. Skills in managing expectations. Credibility in networking and Industry Knowledge. Competent and a proven track record in Sourcing effectively. Commercial awareness. Excellent communication skills, Confidence, and energy – a real people person! Ability to work part of a team as well as autonomously. Required Qualifications/Experience: Minimum 2 years' experience at a Recruitment Agency in a similar role (UAE experience essential) Currently living in Dubai. Experience in recruiting UAE and KSA nationals would be advantageous. Excellent English."
"Martech Specialist","Key Responsibilities: Conduct thorough audits of client measurement setups to identify and resolve tracking and data accuracy issues. Implement and optimize measurement frameworks for platforms such as GA4, Firebase, Adjust, and others to ensure comprehensive tracking. Collaborate with cross-functional teams to address data collection gaps and improve analytics configurations. Deliver actionable insights on campaign performance, user behavior, and conversion attribution to improve marketing ROI. Develop and maintain robust data reporting systems, including dashboards and automation where applicable. Stay updated on industry best practices and emerging analytics technologies to keep clients ahead of the curve. ","Qualifications: Proven experience (5+ years) in digital analytics, measurement consulting, or a similar role. Expertise in analytics platforms such as Google Analytics 4 (GA4), Firebase, Adjust, and similar tools. Strong understanding of attribution models, conversion tracking, and marketing KPIs. Strong experience with tag management systems like Google Tag Manager (GTM). Exceptional problem-solving skills and attention to detail in data analysis and troubleshooting. Excellent communication skills to translate complex data concepts into client-friendly language. Experience with data visualization tools like Looker Studio or Tableau is a plus. Knowledge of programming languages (e.g., SQL, Python, or JavaScript) is advantageous but not required."
"Personal Assistant","Key Responsibilities: Email and Calendar Management: Organize and prioritize emails and manage calendars to ensure timely responses and efficient scheduling. Virtual Travel Arrangements: Coordinate travel plans, book accommodations, and prepare detailed itineraries. Document and Presentation Preparation: Assist in creating, editing, and formatting reports, presentations, and other documents as required. Client & Partner Communication: Handle professional communications with clients, partners, and team members. Research & Data Entry: Conduct online research on various topics and handle data entry tasks with accuracy. Meeting and Event Organization: Schedule, set up, and organize virtual meetings and events, ensuring all logistics are handled smoothly.","Qualifications: Language Skills: Must have a high level of fluency in English (both written and spoken). Tech-Savvy: Proficiency in online tools like Google Workspace, Microsoft Office, and calendar management tools. Strong Communication Skills: Able to communicate professionally and clearly. Self-Motivated: Capable of managing time effectively in a virtual setting and taking initiative. If you’re highly organized, tech-savvy, and looking for an opportunity to grow in a dynamic remote environment, apply now! Please send your CV and a brief cover letter via direct message."
"IT Specialist - Smart Home Integration","We are seeking an experienced IT Specialist with expertise in smart home technologies to manage and integrate a wide range of smart devices, including voice assistants like Amazon Alexa, Google Home, and others. In this role, you will be responsible for configuring, troubleshooting, and optimizing smart home systems to ensure seamless connectivity and functionality for our clients or within our organization. The ideal candidate will have a deep understanding of home automation systems, networking, and security protocols. Key Responsibilities:  Smart Home Integration: Set up, configure, and integrate smart home devices such as Amazon Alexa, Google Home, smart thermostats, lighting, security cameras, smart locks, and other IoT devices into cohesive systems  Troubleshooting & Support: Provide troubleshooting support for smart home systems, ensuring all devices are connected and functioning as expected. Assist clients or internal teams with technical issues and device connectivity problems  Network Setup & Configuration: Configure home or office networks to support smart devices, ensuring secure and stable connectivity across Wi-Fi, Zigbee, Z-Wave, Bluetooth, and other protocols  System Optimization: Optimize smart home setups for performance, security, and efficiency, including routine maintenance and updates of device firmware and software","Requirements  Education: Bachelor's degree in Information Technology, Computer Science, or related field (or equivalent practical experience)  Experience: Strong background in IT support or systems integration, with a focus on smart home technologies"
"Head of Data & AI – FinTech – Dubai, Full Time","We are looking for a Head of Data & AI to join our client, who are a leading FinTech organization in Dubai. As Head of Data & AI, you will lead our client’s Data and AI strategy whilst managing analytics, data science, and engineering teams. Your role focuses on driving insights and innovation to support business goals and improve customer experiences. Responsibilities: Define and execute a robust AI and data strategy that aligns with business objectives, positioning data as a core strategic asset. Establish and enforce data management and governance frameworks to ensure quality, integrity, and security across the organization. Drive the development of advanced analytics capabilities to support data-driven decisions and deliver actionable insights to key business functions. Lead the creation of solutions powered by Large Language Models (LLMs) and cutting-edge AI technologies. Recruit, mentor, and lead a high-performing data team, cultivating a culture of innovation, collaboration, and continuous growth. Assess and integrate advanced AI and data tools to optimize data processing, storage, and analytics capabilities. Collaborate with cross-functional teams, including product, engineering, marketing, and finance, to embed data solutions into business processes. Ensure full compliance with data protection regulations such as UAE/KSA PDPL, GDPR, and CCPA, maintaining top-tier standards for privacy and security. Define and track key performance indicators (KPIs) to measure the impact of data initiatives, reporting progress to senior leadership.","Qualifications: Over 10 years of experience in AI, data management, or analytics, with at least 5 years in leadership roles. Demonstrated expertise in the FinTech industry or similarly dynamic, data-centric environments. Strong customer-facing skills with the ability to engage and build trust effectively. Deep understanding of data architecture, governance, and privacy regulations. Proficiency in advanced Data & AI technologies and methodologies, including (but not limited to): Machine Learning, Deep Learning, LLM, NLP, Generative AI. Strong leadership, communication, and interpersonal skills, with a proven ability to inspire and manage high-performing teams. Exceptional organizational and time-management skills. Proactive problem-solving mindset with a keen attention to detail and quality. Ability to simplify complex data concepts into actionable insights for diverse audiences. Bachelor’s or master’s degree in data science, Computer Science, Statistics, or a related discipline."
"Head of Information Technology","The Head of IT is responsible for overseeing the planning, execution, and management of IT projects, as well as maintaining and developing the organization's infrastructure and Applications. This role focuses on ensuring that all IT systems and projects align with the business goals, operate efficiently, and support the overall business strategy. Here is a breakdown of key responsibilities, qualifications, and skills typically associated with this position: Strategic Planning: Develop and implement IT strategies to support business goals. Plan and prioritize IT infrastructure development and project initiatives. Create and maintain a roadmap for IT infrastructure upgrades, expansions, and improvements. 2. Project Management: Oversee the management and delivery of multiple IT projects, ensuring they are completed on time, within budget, and to the required quality standards. Collaborate with internal stakeholders to define project scope, goals, and deliverables. Monitor project progress, risks, and issues, and implement mitigation strategies when necessary. Ensure the implementation of project management best practices as governed by PMO based project management framework including its process definition, templates and tools. Implementation of IT projects in terms of testing, user acceptance and project documentation. 3. Infrastructure Management: Oversee the design, deployment, and maintenance of all IT infrastructure, including networks, servers, storage, and cloud solutions. Ensure the availability, performance, and security of the company’s IT systems. Monitor emerging technologies and trends to improve infrastructure resilience and efficiency. 4. Vendor Management: Manage relationships with third-party service providers, vendors, and contractors. Negotiate contracts and ensure that all vendors meet performance and quality standards. Oversee the procurement of IT equipment and services. 5. Risk Management and Compliance: Identify potential risks in IT operations and projects and establish measures to mitigate those risks. Ensure compliance with relevant regulations, data security standards, and internal policies. Implement disaster recovery and business continuity plans. 6. Stakeholder Communication: Communicate effectively with senior management and key business units to understand requirements, priorities, and expectations. Provide regular updates on project status, risks, and budget performance. Miscellaneous Ensure prompt maintenance of hardware or software and sufficient systems capacity in order to prevent delay of operations. Review and approve the design and finalization of technical plans (system design, platforms and integration). Conduct automization for increased work efficiency / reducing manpower. Keep self updated with the new technology as well as educating and training the team about the developments happening across. Advice on new and future technology for the benefit of the organization in the long run. Ensure that all licenses requiring renewal are renewed on time. Advise the management about requirement of new licenses Administration & Management of IT Department Analyse business process and its dependency on IT solution to provide appropriate IT solution Conduct training sessions for the employees to train them on various IT aspects","Minimum Experience : 8-10+ years of experience in IT project management and infrastructure roles, with at least 3-5 years in a leadership position Specific / Relevant Experience -  Understanding of SAAS model is must Must have experience of full cycle implementation of ERP Microsoft dynamics requirement is must Understanding of WMS is must Skills and Capabilities: Advanced Knowledge of computer hardware Advanced Knowledge of Network infrastructure Advanced Knowledge of Software Systems"
"Head of Technology","Our client, an ambitious and fast-growing HealthTech startup based in Dubai, is on a mission to revolutionize healthcare accessibility and delivery. Backed by a team of passionate innovators and investors, they're now searching for a Head of Technology to drive their technical strategy and lead their talented engineering team. Role Responsibilities Shape the Technology Roadmap: Define and execute the company’s technical vision to support rapid scaling and product innovation. Lead and Inspire: Build, mentor, and manage a high-performing team of engineers and developers. Innovate: Utilize cutting-edge technologies like AI, machine learning, and cloud solutions to enhance the platform’s capabilities. Collaborate: Work closely with cross-functional teams, including product, operations, and marketing, to ensure seamless integration and delivery of solutions. Ensure Security & Compliance: Oversee robust security measures and adherence to healthcare industry standards.","What We're Looking: For Proven Leadership: 8+ years of experience in technology leadership roles, ideally in startups or scale-ups. HealthTech Background: Knowledge of healthcare systems, regulations, and tech trends is a strong plus. Technical Expertise: Hands-on experience with full-stack development, cloud architecture, and emerging technologies. Preferably .Net and MEAN Stack.  Strategic Thinker: Ability to balance immediate tech needs with long-term scalability and innovation goals. Dubai-Based or Relocation Ready: We’re seeking someone ready to immerse themselves in Dubai’s thriving tech ecosystem."
"Chief Technology officer","Our client, a leading healthtech diagnostics company is revolutionising the healthcare industry. They are dedicated to developing innovative software solutions that improve patient outcomes and streamline healthcare operations. The Role: As Chief Technology Officer, you will be instrumental in shaping the future of the company. You will lead the technology team, oversee product development, and drive technology strategy. You will be responsible for the entire technology stack, from infrastructure to application development. Key Responsibilities: Develop and execute a long-term technology strategy aligned with the company's business objectives. Lead the product development team to build, launch, and maintain high-quality software products. Recruit, hire, and mentor a talented team of engineers and technical professionals. Oversee the design, implementation, and maintenance of our technology infrastructure. Ensure the security and compliance of our systems and data. Foster a culture of innovation and explore emerging technologies to drive business growth.","Qualifications: Proven track record in leading technology teams in a fast-paced, high-growth environment. Deep understanding of software development methodologies (Agile, Scrum, etc.). Strong technical expertise in areas such as cloud computing, data engineering, and cybersecurity. Experience in the healthtech industry is preferred. Excellent communication and leadership skills. A passion for technology and a commitment to delivering innovative solutions."
"Director of Information Technology","We are looking for an experienced Enterprise Technical Account Manager to join our International Customer Success team. This position will be remote. In this role you will be the technical liaison for top-tier clients, serving as the subject matter expert on all things technical regarding the Redis platform. The successful candidate will be a technically savvy multi-tasker with a “can do” attitude, a love for challenges, and a sales-oriented mindset. Above all, a focus on world-class client service is key by providing a premium customer experience to some of our largest customers. The main focus of this role is to manage customer retention, eliminate or reduce any possible churn risk, and ensure our customers stay with us over the long term. A second additional goal is to help customers learn how to better use Redis to grow their business. If you are level-headed, comfortable in a fast-paced, ever-evolving environment, and truly service-oriented with a willingness to go the extra mile to support clients, then this is the right challenge for you. What You’ll Do Execute onboardings for new customers to minimize time to value. Relentlessly monitor and manage customer health, and identify and mitigate renewal risks.  Deliver QBR’s with Stakeholders. During the renewal stage, assist the Sales team to ensure the process runs smoothly. Look for new expansion opportunities to help customers continue to grow their business using Redis. ","What will you need to have?  3+ years of experience in a customer-facing technical role, such as Technical Account Manager, Solutions Architect, Customer Success or similar. Soft Skills Excellent communication and presentation skills, with the ability to translate complex technical concepts to non-technical stakeholders. Strong problem-solving skills and the ability to think strategically about customer needs. Ability to manage multiple priorities and work effectively in a fast-paced environment. Experience in proactively growing customer relationships within an account while expanding your understanding of the customer’s business Demonstrated track record of owning customer relationships, including implementation, renewal, and upsell Technical Skills Experience with Linux  Proven experience working with cloud technologies, databases, or distributed systems Proficiency in one or more programming languages (e.g., Python, Java, C++). Other Fluent in business English and Arabic, written and verbal. Prepared to travel to customer sites. Extra Great If You Have Experience with Redis or any other NoSQL database Experience with software development (Java, .NET, Python)  Some experience with DBaaS (relational or non-relational)  Experience supporting a solution built for DevOps or Developers"
"Artificial Intelligence Engineer, Europe, Remote","We are seeking a talented AI Developer to join our cutting-edge US AdTech Project. In this position, you will play a crucial role in advancing our state-of-the-art AdTech platform, which stands out as a top contender in the US market. As an AI Developer, your primary responsibilities will include crafting, executing, and fine-tuning AI algorithms and models to tackle intricate challenges and spearhead groundbreaking advancements. Develop AI models and algorithms using machine learning and deep learning techniques. Collaborate with cross-functional teams to understand business requirements and design AI solutions. Implement and optimize AI algorithms for performance and scalability. Conduct experiments and analyze data to improve model accuracy and effectiveness. Stay updated on the latest trends and technologies in AI and machine learning.","We are in search of experienced senior software engineers who possess a deep passion for technology and an eagerness to tackle complex technical challenges. You have a strong interest in leveraging AI and cutting-edge methodologies to drive efficiency and precision in your work. A strong commitment to the organization's growth and the advancement of its internal ventures is critical. You care about your project, but also about UpTeam communities and their development. Sharing best practices with engineering communities across projects is paramount to you. You must demonstrate a commitment to continuous learning, allocating time for acquiring new skills and obtaining certifications to validate your expertise and experience. Successful candidate typically possess: Bachelor's degree in Computer Science, Engineering, or related field. Proven experience as an AI Developer or similar role. Strong programming skills in Python Experience with machine learning frameworks such as TensorFlow, PyTorch, or scikit-learn Knowledge of data preprocessing, feature engineering, and model evaluation techniques. Strong communication and teamwork skills. C1 English"
"Sr. Director (Head) of Engineering - IT","As the Senior Director (Head) of Engineering, you’ll spearhead our client’s digital transformation initiatives, focusing on seamless, scalable, and customer-centric solutions. This pivotal role combines deep technical expertise with leadership to drive innovation in areas like online ordering, restaurant technology, and delivery platforms. You’ll lead a high-performing engineering team, manage high-volume transactions, and ensure the adoption of cutting-edge digital architectures. Key Responsibilities Lead and scale eCommerce solutions, mobile apps, and loyalty platforms. Drive innovation in restaurant technologies, including POS, kitchen automation, and digital menu boards. Enhance last-mile delivery systems to meet growing customer demand. Manage high-performing engineering teams and promote a culture of collaboration and continuous improvement. Implement best practices in SDLC, CI/CD, and agile methodologies.","To excel in this role, you’ll need: Experience: 12+ years in digital engineering roles, including 5 years in leadership, with a background in QSR, retail, or eCommerce industries. Technical Expertise: Proficiency in cloud-native architectures, microservices, APIs, and modern web technologies like React and Node.js. Leadership Skills: Proven ability to lead distributed teams and align technical strategies with business objectives. Education: Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field. Advanced certifications in cloud or engineering management are a plus."
"Senior Information Technology Officer","Job Responsibilities: Application Lifecycle Management: Assist in the evaluation and selection of technology standards and ensure adherence to them. Manage the development, testing, and support of new & existing applications. Ensure the effective integration of new applications with existing systems. Implement best development practices. Daily monitoring of Applications and Services Strengthen/Define SDLC & Application Support process. Own Change, Release & Incident Management processes. Optimize PL/SQL code, SQL queries, and database configurations for enhanced performance, especially in high-transaction insurance environments. Develop and maintain Oracle applications tailored to the insurance industry, including policy administration, claims processing, and underwriting systems & Finance processors. Optimize PL/SQL code, SQL queries, and database configurations for enhanced performance, especially in high-transaction insurance environments. Create and maintain reports and dashboards for insurance data analytics using Oracle SQL, Oracle Reports, and BI tools. Develop unit tests, conduct code reviews, and participate in system testing to ensure high-quality deliverables. Prepare and maintain comprehensive documentation of database designs, processes, and procedures specific to insurance applications. Provide second-line support for Oracle applications, including troubleshooting and resolving issues related to insurance processes. Plan and execute upgrades, patching, and migrations to keep Oracle systems up-to-date and compliant with industry requirements Project Management: Develop project plans, timelines, and budgets for new application implementations. Coordinate cross-functional teams to ensure project milestones are achieved. Monitor and report on project progress, addressing issues as they arise. Vendor Management: Vendor Coordination during Projects/CR/Support. Build and maintain strong relationships with vendors to ensure ongoing support. Technology Evaluation: Stay abreast of emerging technologies and industry trends. Explore the possibility of consolidating APIs and/or build common reusable components. Evaluate the feasibility and potential impact of new technologies on business operations. Security and Compliance: Collaborate with the cybersecurity team to ensure the security of new applications. Ensure compliance with relevant regulations and standards. Ensure timely VAPT closure. Training and Documentation: Develop and implement training programs for end-users. Create and maintain documentation for new applications.","Job requirements: Bachelor's degree in information technology, Computer Science, or a related field., Proven experience in a role of Development, Delivery & Support., Minimum of 8 years of overall experience and 5+ years of relevant experience., Previous experience of working in General Insurance company., Hands-On development experience on Oracle-based applications and databases is a must., Experience in Net & Web Technologies or Oracle D2K (Development Toolkit Forms, Oracle APEX, and Oracle Reports), Strong application development and support skills with a track record of successful project management., Knowledge on BI tools or other analytics platforms would be a plus, Good communication and interpersonal skills., Strong analytical and problem-solving abilities., Ability to work collaboratively in a cross-functional team environment., Familiarity with security and compliance requirements related to new applications., Project Management Professional (PMP) certification is a plus., Experience with Agile or other project management methodologies is a plus."
"Information Technology Application Manager","Key aspects of the role include: Plan and conduct internal and external audits and assessments of the IT processes, products, and services. Evaluate, write, revise, and maintain all IT-related policies/ SOPs. Prepare or review all levels of validation documents. Conduct internal and external audits and assessments. Acts a subject matter experience on SDLC/Qualification procedure. Collaborate with cross-functional teams to understand business requirements and ensure successful project delivery. Routine IT Incident and deviation management. Identify IT quality risks and propose appropriate solutions. Ensure processes, services, and products are compliant with industry standards and regulations.","To be successful you will need to meet the following: Open to Candidates based in, or willing to relocate to the UAE. Bachelor’s degree in IT, Computer Science, or similar. Relevant certification is a plus. Must have at least 10 years of IT Quality and Software development life cycle experience within the Pharma/Medical Devices/Manufacturing Industry. Must have a good understanding of GAMP5 and risk-based approach to validation. Knowledge of SOX IT controls. Experience with Technical Document writing (SOPs) and development. Experience in implementing various IT standards and relevant regulations within the pharmaceutical industry. Expertise in ERP Systems, Reporting tools, and EQMS solutions. Experience in the review of Validation Deliverables (Project Documentation). Excellent communication and problem-solving skills."
"Technical Support Manager","What is the Job like ? Single Point of Contact: Serve as a single point of contact for Support, coordinating with internal and external stakeholders, monitoring & overseeing a third party support agency. Creating escalation matrices and providing interventions from support agents, to ensure top-notch customer support and satisfaction. Respond to emails/tickets as needed and ensure coverage across time zones to create redundant processes with third party support agents. Define and monitor Support Metrics: Define and track metrics for Support including, but not limited to FCR, CSAT with the third party agency. Set up processes for consistent reporting of such support metrics along with publishing them to all internal stakeholders. Identify processes to bridge gaps in expectations and constantly improve customer satisfaction and support metrics. Collaboration: Act as a liaison between internal teams, agencies and service providers. Escalation Management: Effectively manage escalated tickets, emails, and chats, ensuring timely resolution. Customer Success: Identify customer needs, provide clear explanations, and guide customers in using specific features of our control panels and offerings/products. Control Panel and Product Improvement: Analyze and report product issues to identify trends and areas for improvement. Quality Assurance: Uphold world-class standards by monitoring and meeting support SLAs (Service Level Agreements) and CSAT (Customer Satisfaction) goals. Operational Expertise: Manage operations and issues related to billing support, including credits/reversals. Project Management: Effectively communicate recommendations, project status and risks to stakeholders Knowledge Base Management: Update internal databases regarding technical issues and valuable customer insights. Self-Help Content Creation: Assist in developing informative self-help documents and knowledge base articles for customer reference.","Who should apply for this role ? Bachelor's degree in Computer science, Information technology or related field. Domains/DNS knowledge or experience is a must. Minimum 6 years of Experience as a Customer Support Specialist or similar role. Experience as a Team lead/ Escalation Manager is a plus. Familiarity with the Domains, Hosting, and the Web Services industry is a plus. Strong technical aptitude with experience in troubleshooting Hosting, DNS, Email related issues. Basic understanding of project management methodologies and tools. Proficient in using various support softwares and ticketing systems. Strong understanding of various support help desks and CRM systems. Excellent communication, strong attention to detail and problem-solving skills. Proven ability to prioritize tasks and be efficient at multitasking Patience and a positive attitude when handling challenging situations. Passionate about AI tools and their application in Customer Support"
"Chief Technology Officer (CTO)","We are seeking a visionary and experienced Chief Technology Officer (CTO) to lead the technological vision, strategy, and execution of our rapidly growing company. The CTO will play a pivotal role in driving innovation, ensuring the scalability of our technology stack, and leading the development of our blockchain and crypto products of the highest standards of security, performance, and user experience. The ideal candidate will have a deep and updated understanding of blockchain technologies, crypto markets, and experience in managing a scaling team and external developer community. This role requires someone who can seamlessly integrate technology strategy with business goals, collaborate closely with other executives, foster a culture of innovation, and stay ahead of the rapidly evolving industry landscape to position Trust Wallet at the forefront of the crypto industry. Key Responsibilities Technology Strategy: Develop and execute a forward-thinking technology strategy and roadmap aligned with mission and business goals, ensuring the scalability, security, and efficiency of the platform.  Innovation: Stay up-to-date with the latest advancements in blockchain and crypto technologies, identifying new opportunities for innovation and maintaining a competitive edge in the market.  Product Development collaboration: Influence and contribute to the product vision, roadmap with the product team, from design, development, and deployment angle of Trust Wallet’s products, ensuring an exceptional user experience.  Team Leadership: Build, mentor, and manage a high-performing tech team, fostering a culture of collaboration, excellence, continuous learning and improvement, and innovation.  Collaboration: Work closely with other departments (Product, Marketing, Legal, BD, Operations) to ensure the technology supports business objectives and potential industry requirements.  Budgeting: Oversee the technology budget, ensuring resources are allocated effectively to meet strategic goals while maintaining cost efficiency.  Security: Implement and oversee robust security protocols to protect user assets and data, staying ahead of emerging threats and industry trends. ","Qualifications Experience: 5+ years of experience in technology leadership roles, with at least 2 years in the blockchain or cryptocurrency industry.  Proven track record in managing large-scale technology projects and teams, ability to lead and inspire engineering teams, with a track record of successfully delivering complex technical projects.  Hands-on experience with blockchain technologies, with at least deep knowledge in Ethereum, Bitcoin, smart contracts, and decentralized finance (DeFi) applications, and the broader industry landscape.  Strong problem-solving skills, thinking strategically and translating business needs into technical solutions.  Thrive in a fast-paced, rapidly changing environment.  Strong knowledge of cryptographic protocols, consensus algorithms, and blockchain security best practices.  Experience with open-source projects and communities.  Leadership Skills: Demonstrated ability to lead, inspire, and manage a diverse team of engineers and developers.  Lead by example with integrity, ownership, principle, and servant mentality rather than an authoritative top down approach.  Build the talent pipeline with good coaching and growth mindset.  Excellent communication skills, with the ability to convey complex technical concepts to non-technical stakeholders.  Strategic thinker with the ability to execute at both a high-level and operational level.  Additional Information You must have the right to work for the country you are based."
"Sales Specialist - IT Services - BFSI","Job Summary: We are seeking an experienced Senior IT Services Sales Professional to join our team in the UAE. The ideal candidate will have a proven track record of success in IT service sales, with a strong focus on closing deals in the BFSI (Banking, Financial Services, and Insurance) sector. This is an exciting opportunity for a sales professional to leverage their expertise and drive business growth in a dynamic and competitive market. Key Responsibilities: Develop and execute sales strategies to achieve revenue targets in the BFSI sector Build and maintain relationships with key decision-makers in BFSI organizations Identify and pursue new business opportunities, leveraging industry trends and market insights Collaborate with cross-functional teams to deliver customized IT solutions to clients Conduct needs assessments, presentations, and demos to showcase the value proposition of our IT services Negotiate and close deals, ensuring timely and profitable delivery of services Stay up-to-date with industry developments, competitor activity, and market trends to inform sales strategies","Requirements: 8-15 years of experience in IT service sales, with a minimum of 3 years in the UAE Proven track record of success in closing IT services deals in the BFSI sector (added advantage) Strong understanding of the BFSI industry, including its challenges and opportunities Excellent communication, negotiation, and interpersonal skills Ability to work in a fast-paced environment, managing multiple priorities and deadlines Strong business acumen, with a focus on driving revenue growth and customer satisfaction Bachelor's degree in a relevant field, such as business administration, computer science, or engineering Preferred Qualifications: Experience working with large BFSI organizations in the UAE Strong network of contacts and relationships within the BFSI sector Knowledge of IT service delivery models, including cloud, managed services, and outsourcing Familiarity with industry-leading IT service providers and their offerings"
"Artificial Intelligence Engineer","Job Summary: Join our dynamic team at micro1 as an AI Engineer. You'll have the opportunity to develop cutting-edge machine learning models and AI-driven solutions from anywhere in the world. This role not only offers the chance to work on impactful projects but also provides a supportive environment focused on your career growth. Key Responsibilities: Develop and optimize deep learning models using frameworks like PyTorch and TensorFlow. Collaborate closely with product teams to integrate AI solutions seamlessly. Design and implement Natural Language Processing (NLP) solutions to enhance user experience. Conduct thorough testing and validation of machine learning models. Stay updated with the latest advancements in AI and deep learning technologies. Document processes and findings clearly to support team knowledge sharing. Analyze data sets to extract meaningful insights for business applications.","Required Skills and Qualifications: Proficiency in Deep Learning frameworks such as PyTorch and TensorFlow. Strong experience with Natural Language Processing (NLP) models and techniques. Excellent written and verbal communication skills. Demonstrated ability to work independently in a remote setting. Solid understanding of machine learning algorithms and principles. Preferred Qualifications: Experience with Reinforcement Learning. Familiarity with cloud-based AI services and deployment."
"Head of IT - Dubai (10+ yrs as IT Manager)","We are seeking an experienced IT Business Architect for our client to lead the design and implementation of innovative technology solutions that drive digital transformation across public/private cloud environments, managed services and big data ecosystems. The ideal candidate will bridge the gap between business needs and technical capabilities, leveraging cutting-edge technologies and platforms such as Dell, Starburst or Elastic.  Key Responsibilities: Develop and maintain a comprehensive business architecture framework that aligns with organizational goals and technology strategies. Analyze and assess business requirements, translating them into actionable architectural designs that integrate cloud, IoT, big data, and managed services. Define and enforce standards for data governance, scalability, and interoperability across systems. Drive the adoption of big data tools such as Starburst or Elastic to improve data access, analytics, and visualization. Incorporate IoT platforms and frameworks to enable real-time data processing and actionable insights. Engage with technology partners for strategic planning by creating Capability Heatmaps, Business Capability Roadmaps, Capability Maturity Assessments and Impact assessments to provide visibility into dependencies, overlaps and opportunities.  Partner with product managers, solution architects, enterprise architects, domain architects, engineers, functional teams and other stakeholders to deliver business architecture artifacts needed for End to End Architecture and Solution Architecture Approach deliverables.  Involve in a high-degree of interaction with customer business leaders and relevant stakeholders to solve complex business problems and present clear recommendations. Act as a technical advisor and thought leader, guiding teams on best practices in managed services, cloud integration, and IoT. Continuously acquire knowledge on latest technologies, skills, certifications and experiences in line with business architecture model.","Experience: 7+ years of experience in business architecture or a similar role. Hands-on experience with big data platforms like Starburst or Elastic. Understanding of Dell’s infrastructure and solutions in enterprise environments. Proven expertise in public and private cloud technologies, including experience with AWS, Azure, or Google Cloud. Strong background in vendor management and managed services. Familiarity with data governance, security, and compliance frameworks Knowledge of Big Data, IoT frameworks and related technologies. Education: Bachelor’s degree in Computer Science, Information Systems, or a related field. Master’s degree and relevant Certifications preferred."
"Solution Consultant - Education Technologies","MarsSys is seeking a talented Solution Consultant to join our team! This role involves designing innovative solutions tailored to our customers’ needs, including working with industry-leading platforms like Google for Education. Key Responsibilities: Collaborate with customers to understand their requirements and design tailored solutions. Training and deployment of Google services, IT Infrastructure and other applications. Develop and present technical solutions that align with business objectives. Work closely with cross-functional teams to implement and optimize solutions. Stay updated on emerging technologies to provide cutting-edge solutions.","What We’re Looking For: Proven experience in solution consulting, deployment and training. Experience in Education sector working with schools is preferred. Strong technical expertise, especially in education technology solutions. Excellent communication and problem-solving skills. Passion for delivering exceptional customer experiences."
